Blog	conversation	report	community	thought	took	tech	since	including	him	major	american	yes	weinstein	real	continue	year	minutes	head	together	myself	never	means	words	us	me	espn	policy	no	reality	did	live	russian	entire	oh	truth	original	deal	star	sex	public	key	clear	meet	love	official	recently	stop	days	true	don	friends	twitter	started	big	making	help	site	tv	coming	according	saw	same	web	hope	worked	times	quickly	important	wasn	learning	name	her	happened	company	jemele	way	add	read	care	human	won	ads	most	open	black	rather	someone	drive	m	three	especially	update	lives	stuff	simple	nice	building	while	browser	content	lot	didn	later	store	less	campaign	business	d	couple	steve	friday	photos	obama	away	again	save	x	saying	instead	state	into	next	wrote	than	computer	america	cool	trailer	likely	something	during	following	works	course	p	remember	much	available	players	high	done	private	around	work	ago	back	use	project	video	mr	harvey	music	future	best	stories	attention	comes	build	room	answer	bad	include	k	blog	check	rule	election	national	interview	car	may	online	must	ideas	trying	million	itself	start	happens	went	health	seems	top	its	youtube	very	wrong	las	john	taken	living	early	b	san	gave	see	per	anyone	told	results	women	power	keep	mind	level	successful	exactly	news	spend	stand	search	art	war	com	doesn	director	interesting	bit	press	paper	right	watch	doing	weeks	announced	u	posts	everything	need	please	short	down	version	playing	administration	feature	over	hour	fact	even	face	free	morning	turn	day	make	left	each	group	personal	follow	wanted	still	second	donald	across	looks	question	writing	gets	home	take	easy	job	talking	does	city	world	also	smart	set	plans	country	small	mean	pick	book	dead	both	taking	kind	notes	made	ad	then	often	needs	network	came	maybe	hill	possible	buy	understand	digital	good	little	place	iphone	hit	james	social	create	enough	he	change	say	woman	house	says	everyone	want	yet	five	probably	president	users	police	game	space	feel	come	know	example	created	united	ll	person	would	recent	meeting	reading	become	hear	another	which	movie	really	control	these	give	actually	user	such	soon	special	cnn	too	late	before	thousands	reasons	source	piece	put	line	well	pretty	week	man	go	quite	gun	seen	lots	white	used	few	found	trump	york	any	vegas	two	night	knew	because	without	post	information	great	blogging	links	today	shows	videos	share	story	why	needed	takes	website	learn	look	based	show	amp	able	ways	money	apple	security	camera	only	other	try	tools	play	hollywood	should	were	death	app	past	large	being	once	side	list	though	else	family	bring	had	posted	sometimes	goes	page	part	life	month	fun	running	finally	full	phone	nbsp	let	several	weekend	october	always	quick	half	tips	call	cars	study	called	things	longer	email	amazon	through	americans	matter	better	event	whether	plan	least	where	ai	government	center	market	already	box	finding	age	facebook	article	haven	whole	via	different	figure	under	stay	media	four	support	political	readers	mdash	guy	process	his	years	products	might	ios	ever	old	order	books	thing	single	companies	along	machine	shot	idea	almost	end	tell	hands	said	talk	team	technology	point	close	having	worst	anything	film	mark	system	asked	sure	service	internet	case	product	number	success	them	text	run	against	sunday	could	thanks	those	appeared	months	problem	data	perhaps	google	far	focus	favorite	o	popular	reason	getting	between	photo	access	others	self	series	going	until	th	hours	own	design	related	off	find	got	view	action	isn	many	she	am	write	office	looking	young	using	sexual	long	monday	co	shooting	hard	think	every	deep	program	makes	latest	nothing	working	states
Copyblogger	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	10	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	27	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	3	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	10	0	6	2	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	1	0
Neil Gaiman's Journal	1	1	1	8	9	0	5	4	21	1	29	6	0	2	1	44	2	6	3	6	11	8	10	24	63	0	0	11	1	19	4	1	2	3	0	7	1	1	0	7	0	1	4	15	1	0	2	23	2	15	8	3	10	6	7	10	0	8	11	1	2	9	0	15	5	9	0	1	8	1	4	12	2	1	0	11	0	23	1	0	5	0	10	1	1	2	9	2	65	8	4	0	3	5	1	3	1	11	0	1	15	11	6	0	7	0	0	22	9	0	0	2	0	12	3	1	0	2	8	0	16	11	13	12	1	3	1	2	3	21	4	2	0	0	3	5	25	6	0	4	13	1	7	24	28	22	0	1	7	8	0	1	0	7	15	2	5	1	1	5	5	1	1	11	0	1	1	0	9	0	9	7	4	4	6	3	2	2	3	21	0	2	0	6	2	18	0	0	1	4	3	6	4	12	4	19	0	4	4	2	2	3	7	4	1	0	1	2	1	0	0	13	2	31	2	2	2	19	3	0	10	9	27	3	1	0	1	3	12	3	6	5	3	3	0	0	23	4	0	30	0	4	3	4	13	27	6	8	0	2	0	7	11	5	0	1	6	1	26	4	3	13	1	2	12	6	1	17	11	2	10	2	1	6	0	2	68	2	3	4	10	2	14	0	28	2	0	0	6	3	0	2	3	3	0	24	9	6	0	1	8	3	1	2	55	5	2	0	3	1	9	15	6	1	8	0	0	0	0	0	7	5	9	1	1	1	22	7	38	2	0	16	2	7	9	35	3	22	0	14	7	8	0	10	3	2	0	19	5	17	4	0	1	3	16	2	12	4	7	11	23	5	0	3	11	2	3	13	5	0	12	12	0	24	10	3	32	3	7	1	2	0	4	5	2	1	5	8	4	1	0	2	4	7	3	6	1	1	2	18	1	0	0	20	17	2	0	1	2	12	21	6	1	2	2	9	4	4	2	5	2	7	0	42	26	6	10	7	6	9	5	6	6	3	1	1	320	8	5	2	2	6	0	5	1	1	0	0	6	50	0	3	6	11	0	4	6	8	2	1	2	22	0	0	2	1	2	0	1	1	5	2	2	6	4	8	1	1	2	4	8	4	0	0	0	1	2	40	22	0	4	0	10	13	3	45	20	1	0	3	0	0	6	10	2	8	2	15	5	2	1	1	2	5	0	7	4	2	0	13	11	0	5	4	0	3	1	43	5	2	1	2	19	1	5	1	7	0	0	5	2	2	0	0	1	1	1	10	7	10	0	3	1	7	27	6	19	10	8	4	0	10	13	22	8	1	8	16	11	20	18	1	2	3	3	0	11	0	10	0	8	9	3	1	4	4	1	2	4	0
43 Folders	1	0	0	10	2	0	5	8	12	4	2	13	0	19	4	14	7	1	3	8	26	11	1	21	82	0	0	37	2	13	8	0	1	3	6	2	2	1	1	1	2	7	2	15	0	1	11	7	9	46	5	4	2	25	11	30	2	4	1	0	1	9	10	20	5	3	2	13	2	6	3	17	2	2	0	36	1	43	27	4	10	0	41	4	1	8	7	0	47	3	8	4	2	27	7	15	3	10	0	1	39	8	5	0	16	0	8	45	7	2	2	0	0	7	10	2	4	11	4	0	21	3	2	36	0	1	3	0	4	23	2	2	0	2	0	6	37	5	0	0	10	4	10	59	3	25	11	3	14	0	0	0	8	14	2	9	5	2	8	2	6	1	2	5	2	2	0	0	9	3	15	1	1	3	10	0	6	11	3	2	2	2	2	9	0	29	6	0	15	0	12	4	6	2	2	18	0	14	6	2	0	7	10	7	3	2	8	1	2	0	0	3	0	17	18	0	2	7	0	4	24	6	16	1	0	0	2	12	21	16	3	9	3	1	0	1	29	4	9	50	5	8	7	5	16	45	2	13	0	4	0	5	20	8	1	0	3	3	4	13	6	10	5	19	4	5	0	13	27	4	3	0	0	2	7	2	25	1	8	1	9	2	28	1	25	19	4	4	1	14	1	5	5	14	0	26	28	7	3	3	2	1	0	15	39	13	21	2	2	13	8	26	6	4	8	0	5	0	2	1	7	5	40	0	0	0	37	8	20	2	0	13	12	8	10	45	1	77	3	24	4	14	0	6	5	5	0	14	5	13	2	2	1	0	3	3	24	11	11	7	21	5	0	1	2	0	6	13	1	0	1	38	0	10	5	2	57	12	2	6	14	1	2	13	0	0	4	6	32	3	4	1	11	5	2	4	11	1	5	5	1	0	0	22	22	18	5	6	0	16	16	4	8	8	3	17	4	4	3	2	7	4	0	26	15	15	10	4	17	32	2	3	4	6	7	1	1	17	2	0	3	20	0	9	5	3	2	0	3	55	1	11	1	7	0	8	27	4	14	2	11	20	0	0	0	1	13	0	3	0	1	4	3	4	1	7	4	20	6	2	5	3	0	2	32	33	2	28	16	0	16	6	26	10	8	1	33	6	2	1	1	2	6	13	7	17	4	14	22	2	3	21	2	11	3	14	0	3	4	1	10	3	3	3	4	9	5	22	4	6	4	0	24	13	27	0	4	15	3	3	2	7	3	10	1	2	5	11	3	2	0	4	9	0	7	15	1	4	13	10	3	13	10	2	4	1	0	20	29	14	3	0	2	2	8	0	21	1	0	1	16	31	12	0	0	5	0	7	7	0
The Dish	0	0	0	2	1	0	2	1	0	0	0	1	0	1	1	3	0	1	0	1	2	0	4	3	11	0	0	6	0	2	1	0	1	1	0	1	0	0	2	1	1	0	0	7	0	4	0	0	0	4	1	0	1	2	0	0	2	1	0	2	0	2	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	9	0	0	1	1	5	2	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	2	0	3	0	0	1	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	1	1	1	4	0	2	0	0	2	0	2	2	0	0	0	1	2	0	0	1	0	1	4	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	6	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	2	1	1	0	0	1	0	0	0	0	2	0	0	0	1	2	1	1	0	0	0	0	0	0	0	1	0	0	3	4	0	0	3	3	1	0	1	0	0	3	0	1	4	3	0	2	0	9	2	0	0	0	1	1	1	2	0	0	0	0	2	2	0	1	1	0	1	0	0	0	7	0	0	0	0	0	0	0	1	3	0	0	1	0	2	2	0	7	2	0	0	0	1	0	1	0	1	1	0	2	1	0	0	0	0	0	1	3	0	1	0	2	0	0	1	1	1	2	1	0	0	1	0	0	0	6	4	2	1	3	1	1	1	0	3	1	0	2	2	0	0	0	5	0	0	0	0	0	0	0	1	0	1	2	0	1	2	0	0	1	0	1	1	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	2	4	0	0	1	1	1	1	0	0	3	3	0	1	0	0	3	0	0	0	1	0	1	0	0	2	3	2	0	0	0	0	3	1	0	0	3	0	0	0	0	0	1	1	0	0	4	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	3	0	3	0	4	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	2	1	7	0	0	0	11	11	0	1	0	0	3	0	1	1	1	0	0	0	0	3	1	3	0	0	4	2	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	0	1	0	2	0	0	1	0	2	0	0	0	2	1	0	0	0	1	2	0	1	0	0	2	0	0	0	1	0	0	0	2	0	2	0	1	3	1	2	0	0	2	0	0	0	6	0	0	0	1	1	1	0	0	0	2	2	0	0
Lifehack	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	2	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	11	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	2	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	2	2	5	0	3	0	6	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	1	1	0	1	0	4	0	0	0	4	5	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	19	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	4	1	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	19	0	2	0	0	3	0	2	0	0	0	1	2	1	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Latest from Crooks and Liars	0	0	0	0	1	0	3	2	4	0	0	0	4	1	0	2	0	1	0	0	3	0	1	0	2	0	0	5	2	6	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	2	1	0	0	1	0	1	0	0	0	0	1	3	0	0	0	1	0	1	1	0	0	0	0	7	1	0	0	0	2	3	0	0	1	0	2	0	1	0	0	1	0	0	0	2	0	0	2	3	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	1	1	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	4	0	2	5	0	0	0	0	0	4	0	2	0	0	1	1	0	2	0	1	1	0	0	1	1	0	2	1	0	2	0	0	0	1	0	0	3	0	3	0	2	2	0	0	1	0	3	2	2	0	0	1	0	2	1	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	1	0	0	2	2	0	0	0	0	0	3	0	4	0	0	0	1	0	2	0	0	0	0	0	2	1	0	1	0	1	0	0	19	0	1	0	2	0	0	0	0	0	0	13	0	0	9	0	0	0	0	0	0	4	2	0	1	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	0	3	0	2	6	2	0	0	0	0	3	2	1	2	25	2	4	0	1	0	0	6	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	1	5	2	0	0	1	1	4	0	0	0	1	0	0	0	5	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	2	3	0	0	0	0	1	0	2	4	3	0	0	0	1	3	0	0	3	0	3	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	3	0	3	0	0	11	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	5	2	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	1	0	2	0	1	0	1	3	0	1	1	0	0	0	0	0	2	0	0	2	1	0	0	2	0	2	0	0	0	2	0	0	0	2	0	0	4	0	1	0	1	1	0	0	0	0	0	0	0	2	4	0	2	2	0	1	1	3	0	0	1	0	0	0	4
mezzoblue	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
Steve Pavlina	0	0	1	0	1	0	2	1	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	2	1	0	0	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	12	0	2	0	0	0	0	1	2	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	7	1	0	20	0	0	0	1	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	1	13	0	0	0	0	0	0	1	1	5	0	0	0	0	0	1	1	0	0	0	0	0	1	5	0	0	1	3	1	2	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	2	0	15	1	1	7	0	0	0	0	23	1	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	1	1	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	5	0	3	0	1	0	0	0	0	0	0	0	0	3	0	4	1	0	1	1	0	3	3	1	0	1	0	3	1	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	1	1	20	0	2	0	0	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	2	0	2	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	7	0	1	2	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	4	0	0	0	0	2	0	0	0	3	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	17	0	4	1	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	1	0	3	3	1	0	0	2	1	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
The Superficial - Because You're Ugly	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	3	0	0	0	1	0	3	0	0	1	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	2	0	0	2	0	0	2	0	2	0	0	1	1	1	0	0	0	1	3	0	0	0	0	0	0	6	0	2	0	0	0	2	1	3	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	3	1	0	3	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	1	0	0	1	1	0	1	1	0	0	2	0	0	0	1	1	3	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	1	2	0	0	0	2	1	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	2	0	2	1	1	0	0	0	0	0	1	0	2	0	0	0	1	2	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	1	2	1	1	0	0	0	1	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	1	0	1	1	0	0	4	1	0	0	0	1	0	1	0	0	1	2	1	0	0	0	0	4	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	2	0	0	0	0	5	1	0	0	2	0	0	2	1	1	0	0	2	0	11	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
Pharyngula	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	3	0	0	0	0	0	0
